kalimat;kategori
"Ketua Komisi X DPR Syaiful Huda meminta Menteri Keuangan Sri Mulyani menjelaskan rencana penerapan Pajak Pertambahan Nilai (PPN) pada jasa pendidikan sambil menyarankan sistem subsidi silang. Wacana PPN itu tertuang dalam revisi Undang-Undang Nomor 6 tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP). ""Kemenkeu bisa datang ke Komisi X untuk memberikan alasan, rasionalisasi, dan dampak jika PPN jasa Pendidikan benar-benar dilaksanakan. Agar tidak menjadi polemik dan kontra produktif, kita mengharapkan penjelasan pemerintah atas isu ini,"" ucap Huda kepada wartawan, Kamis (10/6). Ia menerangkan, rencana pemerintah mengenakan PPN terhadap jasa pendidikan berpotensi memberikan dampak serius bagi masa depan penyelenggaraan pendidikan di Indonesia salah satunya biaya pendidikan akan semakin mahal. Menurutnya, sektor pendidikan masih membutuhkan uluran tangan pemerintah karena keterbatasan sarana prasarana serta potensi ekonomi. Ia pun menyarankan penerapan sistem subsidi silang seperti universal service obligation (USO) di dunia pendidikan untuk memeratakan akses pendidikan. Diketahui, USO atau Kewajiban Pelayanan Universal (KPU) sendiri merupakan program pemerataan akses komunikasi di berbagai negara, termasuk Indonesia. Dananya diambil dari penerimaan negara bukan pajak (PNBP) operator telekomunikasi swasta.Dana itu kemudian digunakan untuk membangun infrastruktur komunikasi di pelosok.  ""Dengan sistem ini sekolah-sekolah yang dipandang mapan akan membantu sekolah yang kurang mapan. Dengan demikian kalaupun ada potensi pendapatan negara yang didapatkan dari sektor pendidikan maka output-nya juga untuk pendidikan. Istilahnya dari pendidikan untuk pendidikan juga,"" kata dia, yang merupakan politikus PKB itu. Terpisah, Anggota Majelis Tinggi Partai Demokrat Syarief Hasan menyatakan menyatakan kebijakan itu belum darurat diambil pemerintah. ""Saya pikir belum [urgent]. Justru sebaliknya kita harusnya memberikan kepada rakyat,"" kata Syarief kepada wartawan di Kompleks Parlemen, Senayan, Jakarta pada Kamis (10/6). Ia menyampaikan, kondisi masyarakat di tengah pandemi Covid-19 masih sulit saat ini. Menurutnya, hal itu bisa dilihat dari angka kemiskinan yang masih tinggi sampai sekarang. ""Intinya, belum saatnya kita bebani rakyat yang masih kesulitan di tengah pandemi, justru negara yang seharusnya memberikan kepada rakyatnya bukan mengambil dari rakyatnya yang sekarang sudah semakin berat,"" tutur Wakil Ketua MPR itu. Untuk diketahui, pemerintah bakal memungut PPN pada jasa pendidikan sebagaimana tertuang dalam revisi KUP. Sebelumnya, jasa pendidikan alias sekolah masuk kategori jasa bebas PPN. Dalam rancangan (draft) RUU KUP yang diterima CNNIndonesia.com, pemerintah menghapuskan jasa pendidikan dari kategori jasa yang tidak dikenai PPN. Merespons polemik ini, Sri Mulyani mengaku belum bisa menjelaskan seluruhnya lantaran dokumennya masih dalam bentuk rancangan bocor ke publik. ""Kami dari sisi etika politik belum bisa melakukan penjelasan ke publik sebelum ini dibahas karena itu adalah dokumen publik yang kami sampaikan kepada DPR melalui Surat Presiden,"" ungkap Ani saat rapat di Komisi XI DPR, Kamis (10/6) ""Oleh karena itu, ini situasinya jadi agak kikuk karena kemudian dokumennya keluar karena memang sudah dikirimkan kepada DPR juga, jadi kami tidak dalam posisi bisa menjelaskan keseluruhan arsitektur dari rencana pajak kita,"" lanjutnya. ";0
"Ketua Komisi I DPR Meutya Hafid mengatakan pihaknya saat ini masih menunggu keputusan pimpinan DPR untuk memperpanjang pembahasan Rancangan Undang-undang Perlindungan Data Pribadi (RUU PDP). ""Kita belum bisa rapat sampai diperpanjang. Jadi belum mendapatkan izin waktu untuk membahas. Kita menunggu dari pimpinan DPR,"" kata Meutya di Gedung DPR RI, Jakarta, Kamis (10/6).Politikus Golkar itu memastikan Komisi I akan melanjutkan RUU PDP setelah ada keputusan dari pimpinan DPR. ""Sekarang kita belum boleh rapat resmi karena statusnya itu kemarin kan masa sidangnya sudah melewati dua, jadi perpanjangan harus izin pimpinan DPR,"" ujarnya. Dikonfirmasi terpisah, Wakil Ketua DPR Sufmi Dasco Ahmad memberi sinyal positif mengenai kelanjutan pembahasan RUU PDP. Dasco menyebut pimpinan DPR sempat melaksanakan evaluasi mengenai pembahasan RUU PDP di Komisi I.Ia menekankan kemungkinan besar, dalam waktu dekat DPR akan kembali membahas RUU PDP. Dari hasil evaluasi, pimpinan menilai kinerja Komisi I dalam membahas rancangan aturan perlindungan data pribadi ini sudah mencapai target. Selain dari hasil evaluasi, pihaknya juga mempertimbangkan bahwa RUU PDP sudah mendesak untuk disahkan. DPR bercermin dari sejumlah kasus kebocoran data pribadi warga Indonesia. ""Mengingat ada perkembangan terbaru, disinyalir ada kebocoran-kebocoran data, maka kesimpulan kami dalam Bamus terdekat kami, kemungkinan besar akan meminta kembali Komisi I atau memberi waktu kepada Komisi I untuk kembali melakukan pembahasan PDP,"" kata Dasco. ""Dan kami akan minta supaya segera diselesaikan secepat mungkin. Bila perlu pada waktu reses kita minta untuk mengerjakan pembahasan,"" ujarnya menambahkan. Sebelumnya, Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi, Tjahjo Kumolo mendorong DPR segera menyelesaikan pembahasan dan mengesahkan RUU PDP. Tjahjo meyakini RUU PDP dapat mengurangi dampak peretasan dan penyalahgunaan data pribadi masyarakat mengingat terjadi dugaan kebocoran 279 juta data pribadi pengguna layanan BPJS Kesehatan. lizamganteng lizamganteng lizamganteng lizamganteng lizamganteng lizamganteng lizamganteng semut";0
"Fraksi Partai Keadilan Sejahtera (PKS) di DPR menyindir pemerintah yang seakan kehabisan akal lain untuk mencari sumber pendapatan terkait rencana Pajak Pertambahan Nilai (PPN) untuk barang kebutuhan pokok atau sembako.
""Apakah pemerintah sudah tidak tahu lagi cara mencari sumber pendapatan negara kecuali dengan menarik pajak dari rakyat? Sembako pun dipajaki dan dinaikkan nilai pajaknya,"" kata Anggota Komisi IX DPR RI dari F-PKS Netty Prasetiyani, dalam keterangan tertulis, Kamis (10/6). Menurut dia, rencana tersebut berpotensi mengerek harga jual sembako yang membuat masyarakat semakin tercekik. ""Kebijakan ini akan menaikkan harga sembako dan tentunya makin membebani masyarakat yang sedang terengah-engah karena dampak pandemi,"" ujar Netty. ""Saat ini banyak masyarakat yang hidup susah karena penghasilan menurun atau kehilangan pekerjaan. Daya beli masyarakat juga merosot. Ini kebijakan yang tidak pro rakyat,"" lanjutnya. Netty pun meminta Pemerintah membatalkan rencana tersebut. ""Rencana pengenaan PPN untuk barang kebutuhan pokok tersebut harus dibatalkan. Pemerintah harus peka dengan kondisi masyarakat saat ini,"" ucapnya. Senada, Wakil Ketua DPR Abdul Muhaimin Iskandar alias Cak Imin juga meminta pemerintah meninjau ulang kebijakan tersebut. Kebijakan itu, kata dia, berpotensi memberatkan kehidupan masyarakat bawah dan kontraproduktif dengan upaya pemerintah menekan ketimpangan melalui reformasi perpajakan. ""Saya kira perlu ditinjau ulang. Apalagi kebijakan tersebut digulirkan di masa pandemi dan situasi perekonomian saat ini yang sedang sulit,"" kata Muhaimin. Terlebih, saat ini, pedagang pasar sedang mengalami kondisi sulit karena lebih dari 50 persen omzet dagang menurun. ""Kalau sembako dihilangkan dari kelompok jenis barang yang tidak dikenakan PPN tentu saja merugikan masyarakat karena barang kebutuhan pokok sangat dibutuhkan masyarakat,"" tuturnya. Cak Imin juga mengingatkan bahwa belum lama ini pemerintah mengeluarkan kebijakan membebaskan PPN 0 persen bagi barang impor kendaraan dan properti untuk menggairahkan perekonomian. ""Itu kan jadi saling bertentangan. Kalau kita ingin perkembangan ekonomi nasional secara agregat, seharusnya jangan tambah beban masyarakat kecil dengan PPN,"" jelas dia. Sebagai informasi, Indonesia akan mengenakan PPN terhadap barang kebutuhan pokok. Kebijakan itu akan tertuang dalam perluasan objek PPN yang diatur dalam revisi Undang-Undang Nomor 6 tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP). Dalam draf aturan itu, barang kebutuhan pokok dihapus dalam kelompok jenis barang yang tidak dikenakan PPN. Artinya, barang pokok akan dikenakan PPN. Barang pokok yang tidak dikenakan PPN sebelumnya diatur dalam Peraturan Menteri Keuangan nomor 116/PMK.010/2017. Barang pokok yang dimaksud, seperti beras dan gabah, jagung, sagu, kedelai, garam konsumsi, daging, telur, susu, buah-buahan, ubi-ubian, sayur-sayuran, bumbu-bumbuan, dan gula konsumsi.";0
"Pengendara mobil Toyota Avanza diduga melakukan tabrak lari di Kota Bandung, Jawa Barat, pada Kamis (10/6) malam. Sejumlah orang dilaporkan mengalami luka atas insiden tersebut. Informasi aksi ugal-ugalan pengendara mobil Avanza itu dibagikan warganet di Instagram. Salah satunya akun @kakadans yang mengunggah video singkat mengenai insiden tersebut. ""Sedikit info dan video singkat yg menurut saksi-saksi awal mula tabrak larinya di pasar sederhana, dan masih banyak lagi korban yang menjadi tabrak lari tersangka,"" tulis akun tersebut. Akun Instagram Area Traffic Control System (ATCS) yang dikelola Dinas Perhubungan Kota Bandung, @atcs.kotabandung juga mengunggah di Instastory. Akun tersebut menyebut mobil itu melaju kencang menuju Tol Cileunyi hingga akhirnya terbakar. Sementara pengemudi mobil Avanza putih berpelat nomor D 1173 AIQ itu dinyatakan kabur. ""Mobil Avanza yang melakukan tabrak lari kondisi saat ini terbakar di Tol Cileunyi dan dalam penanganan @satpjrpoldajabar. Bagi masyarakat yang merasa melihat, mendengar dan melakukan pengejaran segera melaporkan kesaksiannya ke kantor polisi terdekat atau telepon call center 110 untuk memudahkan petugas kepolisian melakukan penyidikan,"" tulis akun @atcs.kotabandung dalam keterangan unggahan Instastory-nya. Sementara itu, salah satu saksi yang juga korban tabrak lari, Riki Rahayu menyebut pengendara menabrak sejumlah kendaraan di kawasan Soekarno-Hatta. ""Kronologi saya lagi pakai motor tadi di Jalan Soekarno Hatta pas seberang RS Al Islam tepatnya pas JPO (jembatan penyeberangan orang), ada mobil melaju dengan kencang sambil mengeluarkan api di bagian roda depan. Dia melaju kencang sekali sampai ada bapak-bapak dua orang pakai motor juga celaka (ditabrak),"" kata Riki saat dihubungi. Riki mengalami luka ringan dalam kejadian tersebut. Kendaraannya pun rusak atau lecet di bagian badan motor. ""Yang 2 bapak-bapak itu celaka sampai jatuh. Kalau saya cuma terserempet doang dan jatuh tapi enggak sampai luka berat, cuma luka ringan dan motor baret,"" ujar Riki. Hingga berita ini diturunkan, pihak kepolisian masih mengejar pelaku tabrak lari yang melarikan diri setelah meninggalkan mobil dalam keadaan terbakar.";1
"Gubernur Jawa Barat Ridwan Kamil bersama Gubernur DKI Jakarta Anies Baswedan salat subuh berjamaah, Jumat (11/6). Salat subuh berjamaah itu dilaksanakan di Masjid Agung Sumedang. Dalam kesempatan itu, turut hadir pula Bupati Sumedang, Dony Ahmad Munir. Dalam salah satu foto yang dibagikan tim Humas Pemprov Jabar, terlihat keduanya mengenakan baju koko berwarna hitam. Anies mengenakan koko hitam dengan aksen putih, sementara Emil mengenakan baju koko dengan aksen emas. Keduanya sempat terlihat mengobrol dengan hangat usai salat berjamaah. Emil menyebut bahwa peristiwa ini merupakan bagian program Subuh Keliling yang kembali digelorakan Pemprov Jabar. ""Itulah kenapa sebelum Covid-19 gerakan subuh berjamaah terus dijalankan, karena lelaki soleh itu subuhnya di masjid. Kalau di rumah namanya lelaki solehah,"" kata Emil dalam keterangannya. Dalam kesempatan itu, Emil juga bicara mengenai kepemimpinan. Ia menuturkan bahwa menjadi seorang pemimpin harus menjadi contoh bagi masyarakat, salah satunya dengan terus menyampaikan makna salat subuh berjamaah di masjid. ""Syariat kepemimpinan adalah bisa memberikan kebermanfaatan bagi masyarakat,"" tuturnya. Sementara itu, menurut Emil, kunjungan Anies ke Sumedang kali ini merupakan kunjungan kerja. Anies akan melakukan penandatanganan kerja sama dengan Pemkab Sumedang dalam hal pertanian dan pemenuhan pangan. ""Saya mengapresiasi hubungan ekonomi ini yang akan dilaksanakan antara Pemkab Sumedang dan Pemprov DKI Jakarta. Kami ingin antardaerah ini terus berkoordinasi demi kesejahteraan warga,"" tuturnya. Anies mengatakan, kebutuhan pangan di wilayahnya sangat bergantung Jabar. ""99 persen dari kebutuhan pangan Jakarta itu dipasok dari luar Jakarta, pemasok terbesar datang dari tetangga kami yaitu Jabar,"" kata Anies. ""Kebutuhan pangan di Jakarta ini ditopang oleh Jabar saya ucapkan terima kasih,"" tambahnya. Ia berharap kerja sama antara Pemda Provinsi DKI Jakarta dan Pemkab Sumedang dapat meningkatkan kesejahteraan masyarakat kedua daerah.";0
" Sejumlah lembaga survei telah merilis sejumlah nama yang masuk bursa calon presiden (capres) 2024. Beberapa nama politisi senior muncul dalam bursa pencalonan, sementara sebagian besar lainnya diisi nama-nama politisi muda. Mayoritas hasil survei masih menempatkan nama politisi senior di peringkat teratas elektabilitas. Namun jajaran nama politisi muda dinilai berpotensi besar memberi 'kejutan'. Lembaga Arus Survei Indonesia (ASI), dalam rilisnya pada Selasa (8/6) lalu misalnya masih menempatkan Prabowo Subianto di peringkat teratas untuk capres klaster ketua umum partai. Ketua Umum Partai Gerindra itu masih mengungguli nama ketua umum partai lain seperti Agus Harimurti Yudhoyono (Demokrat) atau Airlangga Hartarto (Golkar). Prabowo juga masih unggul dari tingkat elektabilitas secara umum di angka 12,5 persen. Ia unggul dari sejumlah nama baru seperti Gubernur Jawa Tengah Ganjar Pranowo 11,3 persen dan Gubernur DKI Jakarta Anies Baswedan 9,3 persen. Hasil survei Parameter Politik, juga menempatkan Prabowo yang dinilai sebagai politisi senior, unggul dibanding nama-nama baru. Dalam rilis surveinya pada Sabtu (5/6) lalu, Prabowo mengungguli Ganjar dan Anies dengan elektabilitas 18,3 persen. Direktur Eksekutif ASI, Ali Rif'an mengaku tak heran dengan tingginya elektabilitas Prabowo dalam hasil sejumlah lembaga survei. Menurut dia, hal itu sejurus dengan popularitas Prabowo sebagai politisi senior. Bahkan, Ali menyebut tingkat popularitas Prabowo hampir menyentuh angka 100 persen. Namun begitu, ia ragu tingkat popularitas itu linier dengan elektabilitas Prabowo yang hanya di kisaran 12,5 persen dari hasil survei ASI. Ia memperkirakan angka elektabilitas itu tak akan meningkat, sekalipun popularitas Prabowo menyentuh 100 persen. ""Artinya sudah mentok,"" kata Ali saat dihubungi CNNIndonesia.com, Kamis (10/6). Dengan elektabilitas Prabowo yang sulit menanjak, Ali memprediksi sejumlah politisi muda yang popularitasnya rendah, elektabilitasnya masih sangat potensial meningkat. Ia menyebut sejumlah nama seperti Ganjar, Ridwan Kamil, hingga Puan Maharani. ""Nah yang menarik itu yang elektabilitas di bawah 50 persen, belasan persen. Itu ada potensi dapat limpahan suara dari orang yang belum kenal,"" katanya. ""Kalau popularitas belum maksimal, ada potensi suara naik. Tapi kalau popularitas sudah mentok 100 persen, atau 99 persen potensi naiknya sangat lambat. Tidak eksponensial,"" imbuh Ali. Pernyataan Ali turut diamini Direktur Eksekutif KedaiKOPI, Kunto Adi Wibowo. Dalam rilis surveinya April lalu, Kunto mendapati mayoritas responden berharap memiliki presiden baru dari kalangan muda yang angkanya mencapai sekitar 53 persen. Hanya sekitar 47 persen responden ingin agar presiden tetap dari politisi senior. Kunto tak memberi batas usia dalam surveinya untuk membedakan tua dan muda, kecuali hanya berdasarkan persepsi responden. ""Kita nggak ngasih batasan (usia). Cukup persepsi pemilih aja. Siapa yang dipersepsi muda, dan yang dipersepsi tua,"" kata dia saat dihubungi CNNIndonesia.com. Kunto menduga, masyarakat ingin semangat baru dengan memilih presiden muda. Sedangkan, mereka yang masih ingin presiden dari politisi senior mayoritas lantaran dinilai lebih berpengalaman. Di sisi lain, sejumlah partai saat ini mulai berebut simpati dan suara dari kalangan muda, antara generasi milenial dan Z. Upaya itu dilakukan sebab kelompok generasi tersebut dinilai potensial menjadi basis elektoral. Kendati demikian, Kunto mencatat, bahwa jumlah persentase pemilih muda atau baru dari kelompok generasi milenial dan Z masih relatif lebih sedikit dibanding generasi tua. Hingga 2024, kata dia, tingkat persentase pemilih dari generasi milenial ke atas hanya di angka sekitar 40 persen. Sementara sisanya basis elektoral dari kelompok pemilih tua. Namun ia mengaku tak heran hampir semua partai kini mulai berebut meraup basis elektoral dari kelompok milenial. Menurut Kunto, meraup suara kelompok muda memang memiliki keuntungan sebab notabene mereka adalah pemilih pemula, yang kelak berpotensi menjadi basis elektoral. ""Jadi kalau di awal dia sudah memilih salah satu partai atau salah satu pimpinan partai tertentu, maka dia akan terprogram untuk terus memilih itu,"" kata dia. Faktanya, Kunto belum mendapati sejumlah partai yang cukup berhasil menarik simpati kelompok milenial atau Z. Selain upaya partai politik tak maksimal, kelompok pemilih muda tersebut tak bisa diseragamkan. Lagipula, menurut Kunto, pengelompokan pemilih berdasarkan usia adalah cara usang. Dalam kasus karakteristik pemilih muda, katanya, mereka memiliki latar belakang berbeda sehingga sulit untuk menyamaratakan. Terlebih, parpol juga tak mau ambil risiko dengan mengambil strategi lewat sejumlah isu-isu strategis seperti politik, HAM, dan lingkungan yang belakangan menjadi perhatian generasi milenial. ""Menurut saya parpol-parpol ini masih bermain gimik. Jadi seakan-akan muda bisa dideketin dengan artis doang. Influencer doang,"" katanya. Milenial Apolitis Sementara itu, pengamat politik dari Universitas Islam Negeri (UIN) Jakarta Adi Prayitno menilai sulit memetakan basis elektoral kendati sejumlah nama telah masuk dalam bursa capres 2024. Menurut Adi, semua nama yang telah masuk dalam bursa capres memiliki basis pemilih mereka sendiri, tak terkecuali dari kelompok milenial. Peta pemilih, menurutnya, baru bisa terlihat jika dari beberapa nama tersebut telah mengerucut menjadi dua atau tiga nama. ""Nanti akan kelihatan siapa yang paling kuat sebaran pemilih di kalangan muda atau di kalangan tua,"" kata Direktur Eksekutif Parameter Politik Indonesia itu. Hingga saat ini, kata Adi, sebagian besar pemilih, termasuk pemilih muda, masih memberikan suara berdasarkan tingkat popularitas atau elektabilitas capres. Berbeda dengan Kunto, Adi justru menilai kelompok pemilih muda atau pemula adalah kelompok paling apolitis, sehingga sulit membuat basis elektoral di antara mereka. ""Anak muda banyak yang tidak engage dan tidak peduli dengan urusan politik. Anak muda itu lebih peduli terhadap urusan entertain, kesenian, kebudayaan, yang cukup lekat debgan kehidupan mereka,"" kata dia. ""Jadi sekalipun jumlah anak muda signifikan, tidak automatically mereka ini peduli terhadap persoalan politik,"" imbuh Adi.
";0
"Presiden ke-6 RI Soesilo Bambang Yudhoyono (SBY) mengklaim pengangguran dan kemiskinan berkurang secara drastis di masa akhir kepemimpinannya sebagai orang nomor satu di Indonesia. Ia mengatakan penurunan itu efek dari kebijakan-kebijakan ekonomi yang diterapkan selama menjabat. Pernyataan itu SBY sampaikan saat sidang promosi doktor anak keduanya Edhie Baskoro Yudhoyono yang berkuliah di Institut Pertanian Bogor (IPB), Kamis (10/6). ""Alhamdulilah sejarah membuktikan kalau dulu setelah selesai memimpin, pengangguran kita drop, kemiskinan kita drop segera signifikan dan pertumbuhan meningkat dengan baik,"" ucap SBY. Dalam kesempatan itu, ia menceritakan kebijakan ekonomi yang diterapkan selama menjabat sebagai presiden bersumber dari disertasinya semasa di IPB. Ketua Majelis Tinggi Partai Demokrat itu mengingat tema yang diangkat dalam disertasinya adalah upaya meningkatkan pertumbuhan ekonomi, mengurangi kemiskinan, dan pengangguran dengan menggalakkan pembangunan pertanian, pedesaan, dan infrastruktur dari sisi ekonomi politik kebijakan fiskal. Usai ujian disertasi itu, SBY terpilih menjadi presiden. Sejak saat itu ia mulai menerapkan ide-ide dalam disertasi ke kebijakan ekonomi negara sampai akhir kepemimpinannya. ""Saya bersyukur karena 2 atau 3 bulan setelah ujian terbuka waktu itu Allah takdirkan saya, rakyat Indonesia berikan kepercayaan kepada saya untuk memimpin negeri ini,"" ucap dia. ""Yang ingin saya ceritakan adalah kandungan dari disertasi saya itu akhirnya selama 10 tahun menjadi elemen utama dari kebijakan ekonomi Indonesia,"" imbuhnya. SBY menyebut kebijakan-kebijakan itu pro terhadap pembangunan ekonomi, pertumbuhan, pengurangan pengangguran, pengurangan kemiskinan, dan pro pemeliharaan lingkungan. Berkat kebijakan tersebut, menurutnya, angka pengangguran dan kemiskinan drop usai ia memimpin sebagai presiden. SBY juga mengatakan, keberhasilan kepemimpinannya itu sebagai nostalgia yang harus diingat oleh semua alumni IPB. ""Itu yang ingin saya sampaikan sebagai sebuah nostalgia untuk teman-teman, khususnya para alumni IPB dan keluarga besar IPB,"" ucapnya.
";0
"Menteri Koordinator Politik Hukum dan Keamanan Mahfud MD, mengungkap sikap Presiden Joko Widodo tentang perlu tidaknya aturan pidana terhadap tindakan penghinaan kepada presiden. Diketahui, pasal penghinaan presiden masuk dalam Rancangan Kitab Undang-undang Hukum Pidana (RKUHP) dan menjadi polemik. Mahfud mengaku telah menanyakan sikap Jokowi secara pribadi terkait masuknya pasal tersebut dalam KUHP yang baru-baru ini menuai kritik. Menurut dia, Jokowi menyerahkan pasal tersebut kepada pembahasan di parlemen. ""Jadi menurut Pak Jokowi sebagai Presiden 'mau memasukkan atau tidak pasal penghinaan kepada Presiden ke KUHP putusannya terserah pembahasan di legislatif',"" kata Mahfud dalam cuitannya, Kamis (10/6). Namun kata Mahfud, menirukan omongan Jokowi, masuk atau tidak masuk pasal penghinaan presiden dalam RKUHP sama saja. Toh, katanya, meski selama ini terus dihina, Jokowi tak pernah memperkarakan pihak yang menghinanya. Mahfud menyebut, pertanyaan itu ia sampaikan ke Jokowi sebelum dirinya menjadi Menko Polhukam dan sebelum ada polemik terkait pasal tersebut. ""Sebelum jadi Menko dan ada polemik perlu tidaknya pasal penghinaan kepada Presiden masuk KUHP, saya menanyakan sikap Pak Jokowi,"" kata Mahfud. Pasal penghinaan Presiden yang masuk RKUHP, baru-baru ini diketahui menuai kritik dari sejumlah pihak. Pengamat hukum dari Universitas Andalas Feri Amsari meminta agar pasal tersebut dihapuskan. Pernyataan Feri merujuk keputusan Mahkamah Konstitusional (MK) yang telah memutuskan bahwa pasal penghinaan presiden di KUHP inkonstitusional. Sementara itu, Tenaga Ahli Utama Kantor Staf Presiden (KSP) Ade Irfan Pulungan mengatakan pasal penghinaan presiden ada untuk menjaga kehormatan kepala negara. Menurut Ade, aneh jika pemerintah mendiamkan warganya yang menghina ataupun memfitnah Presiden RI. ""Presiden ini kan memang harus kita hormati. Bagaimana ceritanya kepala negara kita presiden, kita dengan seenaknya memfitnah di media sosial terus diketahui publik,"" kata dia, Senin (7/6)";0
"Komisi Pemilihan Umum (KPU) mengkaji sejumlah opsi penyederhanaan Pemilu 2024 lewat penggunaan satu lembar surat suara untuk lima pemilihan. Satu lembar surat suara itu akan digunakan untuk memilih capres-cawapres, anggota DPR RI, anggota DPD RI, anggota DPRD provinsi, serta anggota DPRD kabupaten/kota. ""Dalam prinsip kemudahan pemilih, akan sangat mudah karena lima pilihan itu bisa terekspresikan di satu lembar surat suara,"" kata Komisioner KPU Viryan Aziz dalam diskusi daring berjudul Efektivitas Pemilihan: Penyederhanaan Surat Suara pada Pemilu Serentak Tahun 2024, Kamis (10/6). Viryan menyampaikan surat suara itu akan terdiri dari lima kolom. Setiap kolom digunakan untuk satu pemilihan. Menurutnya, pemberian suara juga tidak lagi dengan mencoblos. Pemilih hanya perlu menuliskan calon yang dipilih dalam setiap kolom. ""Nanti kita cukup menulis. Di kolom untuk pilpres, tulis nomor, pilih nomor berapa. DPR RI nanti ada kolom, memilih partai nomor berapa dan calon nomor berapa,"" ujar Viryan Viryan mengatakan apabila opsi ini disetujui perlu merubah Pasal 342 UU Pemilu. Aturan itu menyebut pemberian suara dilakukan dengan mencoblos surat suara. Pasal tersebut, katanya, bisa diubah lewat gugatan di Mahkamah Konstitusi, revisi undang-undang terbatas di DPR, atau penerbitan Peraturan Pemerintah Pengganti UU (Perppu).


";0
"Anggota Komisi X DPR fraksi PDIP Putra Nababan menolak wacana pemerintah memungut Pajak Pertambahan Nilai (PPN) dari jasa pendidikan atau sekolah. Wacana ini mencuat setelah draf revisi Undang-undang Nomor 6 tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP) tersebar ke publik. Putra mengatakan sekolah bukan sebuah objek usaha yang harus dipungut pajak. Oleh sebab itu, ia menentang wacana pemerintah memungut pajak dari sekolah. ""Institusi sekolah itu kan bukan objek usaha, justru adalah satu institusi kawah candradimuka untuk menghasilkan anak bangsa yang berkualitas,"" kata Putra saat dihubungi, Kamis (10/6) Anggota Fraksi PDI-Perjuangan itu juga menilai wacana tersebut tidak tepat. Pasalnya, pandemi virus corona turut menghantam kondisi operasional sekolah. Ia menilai, jika ditambah PPN, maka hal itu akan menambah membebani operasional sekolah. Di sisi lain, PPN ini dikhawatirkan berdampak pada semakin tingginya biaya SPP yang harus dibayarkan orang tua. ""Apalagi dalam kondisi sekarang ini kita tahu bahwa kondisi sekolah operasionalnya sangat berat sekali ya,"" ujar Putra. ""Apalagi sekolah swasta di mana banyak sekali orang tua mereka yang kehilangan penghasilan karena pandemi, dan mereka tidak mampu bayar SPP,"" lanjutnya. Namun demikian, Putra mengaku belum mengetahui apakah draf revisi itu sudah disampaikan pemerintah ke DPR. Namun, ia berharap pemerintah membatalkan wacana tersebut. ""Semoga hanya sampai draf doang, tidak sampai jadi usulan inisiatif pemerintah yang bebankan sekolah dengan pajak PPN,"" imbuhnya. Pemerintah sebelumnya bakal memungut Pajak Pertambahan Nilai atau PPN pada jasa pendidikan sebagaimana tertuang dalam revisi Undang-Undang Nomor 6 tahun 1983 tentang Ketentuan Umum dan Tata Cara Perpajakan (KUP). Sebelumnya, jasa pendidikan alias sekolah masuk kategori jasa bebas PPN. Dalam rancangan (draft) RUU KUP yang diterima CNNIndonesia.com, pemerintah menghapuskan jasa pendidikan dari kategori jasa yang tidak dikenai PPN.";0
